PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Qualifier^STRING^^^^,2^EC50^FLOAT^uM^^^,3^LogEC50^FLOAT^^^^,4^Hill Slope^FLOAT^^^^,5^Hill S0^FLOAT^^^^,6^Hill Sinf^FLOAT^^^^,7^Hill dS^FLOAT^^^^,8^Chi Square^FLOAT^^^^,9^Rsquare^FLOAT^^^^,10^N DataPoints^INT^^^^,11^Activation at 95.1 uM^FLOAT^%^^^,12^Activation at 31.7 uM^FLOAT^%^^^,13^Activation at 10.6 uM^FLOAT^%^^^,14^Activation at 3.5 uM^FLOAT^%^^^,15^Activation at 1.2 uM^FLOAT^%^^^,16^Activation at 391.3 nM^FLOAT^%^^^,17^Activation at 130.4 nM^FLOAT^%^^^,18^Activation at 43.5 nM^FLOAT^%^^^,19^Activation at 14.5 nM^FLOAT^%^^^,20^Activation at 4.8 nM^FLOAT^%^^^
4244980,3239508,Inactive,23,,,=,20.03,-4.7,1.19,-15.72,163.88,179.6,-37.01,0.98,20,116.2,75.2,18.5,-2.2,-4.2,-10.5,-13.7,-18.4,-15.5,-25
4245292,3239781,Active,35,,,=,8.551,-5.07,1.34,-7.86,132.44,140.3,-77.68,0.99,20,113.6,109.2,52.4,20.3,3.2,-6.8,-5.5,-0.2,-14.1,-14.8
4245315,3239800,Active,48,,,=,3.668,-5.44,1.6,-5.18,92.37,97.55,-211.41,0.99,20,85.9,85.1,78.4,48.5,10.1,5.9,-7.1,-2.7,-5.6,-9.7
4245329,2871846,Inactive,32,,,=,10.8,-4.97,1.1,-12.02,115.91,127.93,-79.8,0.98,20,91.7,86.9,43.1,20.4,-5.3,0.3,-7.3,-20.5,-10.1,-14.6
4245970,5771389,Inactive,27,,,=,14.93,-4.83,3.63,-2.09,129.47,131.56,-365.05,0.99,20,126.7,116.5,18.2,9.6,-3.1,-4.3,3.1,-2.5,-3.4,-13.1
4246030,3240425,Active,63,,,=,1.273,-5.9,0.88,-14.78,131.2,145.98,2358.54,0.98,20,120.3,104.9,92.7,79.6,49.1,25.6,-14,-4.2,-15.7,-7.5
4246251,3240629,Active,53,,,=,2.642,-5.58,1.6,-43.29,133.12,176.4,-2213.83,0.41,20,111.6,80.1,71.3,57.4,13,-2.1,-174,-2.3,-16.1,-6.5
4246731,3241034,Active,37,,,=,7.716,-5.11,1.55,-3.53,119.18,122.72,-156.5,0.99,30,109.6,106.8,60.5,23.2,-0.6,-0.4,-4.7,-6.2,-4.1,-0.9
4246983,3241256,Active,41,,,=,5.945,-5.23,1.02,-20.83,146.75,167.58,35.01,0.98,20,113.7,106.8,72,24.4,7.3,-10.8,-21.6,-7.6,-32.2,-21.3
4247022,3241283,Active,44,,,=,4.774,-5.32,3.17,-7.88,128.3,136.18,-47.77,0.99,20,120.4,119.8,109.4,22.3,-2.8,-14.8,-10,-10.5,-2.8,-4.8
4247397,3241613,Active,52,,,=,2.828,-5.55,1.88,-10.61,106.55,117.16,-61.02,0.99,30,93.7,94.8,93,58.8,11.4,-4.3,-17,-9.7,-6.2,-12.1
4247653,3241833,Inactive,28,,,=,13.8,-4.86,1.11,-4.79,147.35,152.14,111.05,0.99,20,117.8,84.9,36.7,18.8,-6.6,-0.4,-4.3,-6.9,-1.5,-5.3
4247804,3241968,Active,41,,,=,5.818,-5.24,1.62,-16.18,100.75,116.93,-197.56,0.94,20,84.2,84.5,62.3,32.8,2.1,-42.6,-5.1,-7.2,-17.7,-11.6
4247903,3242053,Active,48,,,=,3.553,-5.45,1,-6.23,134.18,140.41,0.06,0.99,20,117,116.4,85,46.4,19.2,9.8,-2.3,-7.1,-5.9,-8.6
4247941,3242085,Active,49,,,=,3.374,-5.47,1.67,-5.54,107.09,112.63,-128.07,0.99,20,106.4,96.6,83.9,55.8,8.8,-7.8,-2.2,-4.9,-6.9,-1.6
4248362,3242450,Active,36,,,=,8.423,-5.07,0.86,-9.9,144.83,154.73,-78.07,0.97,18,42.1,89.1,59.1,22.8,7.2,4.5,-15.2,-5.3,-17.3,-3.3
4248610,3242673,Inactive,2,,,=,83.13,-4.08,1.43,-3.43,67.85,71.29,-334.94,0.88,19,52,29.4,7.8,-2.8,-32.2,7.8,0.5,-7.6,-10.1,-7.2
4248630,3242691,Active,42,,,=,5.423,-5.27,1.23,-5.83,134.43,140.26,-29.71,1,20,120.8,114.2,75,33.3,9.5,-0.6,-8.8,-3.9,-10.1,-2.1
4248818,3242845,Active,33,,,=,9.927,-5,1.4,-17.27,146.81,164.08,-47.25,0.98,20,116.8,112.5,44.4,10.6,-4.2,-10.5,-23.5,-14,-30.4,-13
4248840,3242863,Active,39,,,=,6.901,-5.16,0.7,-15.17,143.74,158.91,-47.53,0.99,20,102.6,91.6,59.2,30.8,13.1,1,-8,-2.3,-23.5,-14.2
4249087,3243084,Inactive,27,,,=,15.49,-4.81,0.66,-4.95,188.16,193.11,8.49,0.98,20,102.6,75.3,34.2,20.2,11.6,4.9,-1.7,-9.7,-2.5,-4.1
4249215,5771444,Inactive,5,,,=,68.87,-4.16,2.53,-4.49,110.87,115.36,-80.45,0.97,20,71.6,8.8,-3.5,-4.2,-11,-6.6,-1.2,-1.2,-2,-5.2
4249328,3243296,Inactive,29,,,=,13.7,-4.86,1.39,-8.95,103.74,112.69,-71.76,0.98,19,89.2,75.9,40.1,8.3,-71.6,-4.5,-1,-7.3,-15.7,-14
4249429,3243384,Active,36,,,=,8.314,-5.08,0.93,-6.53,105.12,111.66,4143.88,0.98,20,90.5,77.2,55.7,29.9,11.1,-1.8,-5.1,-8.3,4.5,-12.7
4249441,3243394,Inactive,8,,,=,57.73,-4.24,1.03,-12.21,170.35,182.56,-21.06,0.93,20,71.6,26,9.5,-13.2,-11.4,-15,-9.3,-15.2,-4.3,-13.6
4249456,3243408,Active,37,,,=,7.922,-5.1,1.48,-10.21,143.42,153.63,-173.28,0.98,30,125.8,115.7,63.5,13,3.7,-6,-9.2,-2.1,-18.1,-19.5
4249583,729671,Inactive,30,,,=,12.58,-4.9,1.39,-10.24,83.59,93.82,-29.63,0.98,20,71.2,65.7,45.4,15.5,-3.8,-9,-4.5,-7.8,-16.3,-11
4249697,3243615,Active,42,,,=,5.405,-5.27,1.19,-8.53,128.37,136.9,-53.08,0.99,20,116.5,102.3,72.5,40,1.5,-5.4,-6,-11.3,-9.2,-2.6
4249725,3243638,Active,39,,,=,6.626,-5.18,2.18,-10.46,123.8,134.26,-78.07,0.99,30,113.4,108.5,79.9,12.6,-4.8,-7.5,-12.4,-7.9,-17.2,-9.2
4249884,3243766,Active,45,,,=,4.443,-5.35,1.14,-20.44,110.23,130.67,-570.58,0.83,20,89,84.3,68.1,42.3,12,3,-51.4,-14.7,-15.2,-8.4
4249960,3243836,Active,49,,,=,3.396,-5.47,0.95,-10.27,136.51,146.78,2.05,0.99,30,120.3,106.8,85.9,52.6,17,4.9,-6.2,-6.4,-14,-8.3
4250058,6602849,Inactive,27,,,=,14.97,-4.82,0.88,-12.65,153.65,166.31,-54.15,0.99,30,105.8,79,33.8,15.8,-5.6,-3.8,-9.4,-10.4,-16.6,-14.2
4250611,3244400,Inactive,26,,,=,16.02,-4.8,2.04,-7.52,107.38,114.9,-123.43,0.98,20,99.1,78,31.1,-8.6,-10.3,-4.3,-6.7,-12.8,-6.5,0.8
4250635,3244419,Inactive,24,,,=,19.11,-4.72,1.18,-11.46,107.91,119.37,-67.39,0.98,20,86.1,63.5,32.2,6.5,-12.6,-2.9,-18.3,-8.4,-15.1,-6.4
